Consumidor,NBO_1,NBO_2,NBO_3,NBO_4,NBO_5
5549,58,31,41,3,15
5550,19,25,61,69,40
5551,40,33,41,60,61
5552,74,34,47,31,55
5553,46,9,10,11,72
5554,41,12,56,11,50
5555,10,40,70,71,2
5556,12,34,38,72,21
5557,57,8,22,59,78
5558,77,8,1,19,33
5559,33,45,7,70,49
5560,34,32,44,8,11
5561,18,76,2,33,16
5562,7,78,18,42,29
5563,7,8,50,74,17
5564,35,72,24,41,45
5565,29,12,61,5,9
5566,71,56,69,61,73
5567,33,76,5,68,1
5568,31,56,8,29,37
5569,27,17,21,28,40
5570,66,72,17,34,47
5571,20,54,14,69,72
5572,43,45,56,39,69
5573,41,4,25,6,9
5574,19,39,13,8,52
5575,73,10,29,2,18
5576,58,57,24,5,16
5577,80,26,65,8,9
5578,22,11,20,63,70
5579,78,70,13,44,64
5580,30,18,69,13,22
5581,17,27,62,23,49
5582,16,19,54,59,5
5583,1,67,32,59,74
5584,23,8,16,24,51
5585,39,2,40,63,64
5586,8,16,44,2,13
5587,3,32,35,55,9
5588,55,5,32,50,2
5589,20,38,16,43,66
5590,76,25,35,41,75
5591,35,8,3,11,20
5592,22,14,28,53,26
5593,35,32,36,37,45
5594,23,41,77,22,49
5595,58,38,66,7,45
5596,54,31,17,52,4
5597,19,49,72,74,78
5598,15,10,61,39,78
5599,65,12,13,41,47
5600,17,34,56,2,21
5601,47,56,25,63,7
5602,44,55,26,33,37
5603,1,34,53,36,51
5604,76,16,46,25,43
5605,17,44,1,64,16
5606,23,14,51,6,9
5607,1,72,56,79,27
5608,5,47,6,10,15
5609,8,21,37,33,36
5610,51,30,33,67,78
5611,23,55,19,1,8
5612,37,53,43,7,11
5613,10,27,38,73,75
5614,3,29,56,17,22
5615,72,13,16,19,39
5616,6,19,70,11,17
5617,37,30,34,71,77
5618,20,42,56,40,68
5619,49,19,14,25,26
5620,20,26,1,2,12
5621,40,33,18,26,70
5622,38,48,9,72,34
5623,30,44,63,65,74
5624,11,24,28,42,68
5625,69,27,45,8,18
5626,35,18,78,21,14
5627,64,67,23,63,39
5628,38,50,45,78,9
5629,43,65,78,11,47
5630,35,77,1,13,16
5631,28,15,73,78,22
5632,60,48,6,28,54
5633,78,16,31,62,73
5634,14,23,64,51,7
5635,73,57,13,56,69
5636,60,25,12,14,49
5637,71,41,36,8,19
5638,37,18,7,52,55
5639,19,39,24,40,69
5640,59,13,40,1,11
5641,23,58,8,18,22
5642,71,15,27,19,42
5643,66,60,76,36,73
5644,14,42,29,80,43
5645,55,2,70,80,1
5646,68,31,43,65,7
5647,60,59,68,17,21
5648,41,32,14,40,64
5649,18,57,58,1,52
5650,13,18,1,8,23
5651,60,63,3,35,39
5652,16,47,3,12,46
5653,4,32,9,6,13
5654,66,13,65,29,8
5655,21,75,1,5,17
5656,65,3,15,16,37
5657,47,11,41,67,19
5658,6,49,2,13,29
5659,18,29,50,17,64
5660,46,64,48,41,44
5661,54,58,69,66,2
5662,58,56,22,37,76
5663,22,34,48,56,36
5664,18,78,76,2,37
5665,71,13,54,59,77
5666,65,58,7,10,16
5667,2,7,12,49,52
5668,16,36,23,39,47
5669,31,37,42,51,66
5670,27,34,23,38,73
5671,54,60,67,5,80
5672,30,61,19,28,60
5673,17,31,39,65,19
5674,36,1,3,17,26
5675,76,55,14,17,38
5676,23,60,25,35,6
5677,1,3,17,50,2
5678,72,17,50,68,27
5679,38,77,79,37,65
5680,77,38,48,57,78
5681,10,45,61,18,42
5682,24,56,16,5,46
5683,22,61,13,16,7
5684,51,19,18,40,13
5685,49,9,13,14,60
5686,50,33,2,41,7
5687,11,29,50,12,6
5688,38,67,72,8,46
5689,14,54,40,69,41
5690,37,46,50,79,57
5691,16,29,9,13,54
5692,19,48,12,24,49
5693,66,1,40,9,33
5694,16,80,44,2,46
5695,6,21,41,52,66
5696,46,61,73,41,3
5697,55,15,30,41,42
5698,65,73,19,74,14
5699,24,38,44,52,69
5700,8,11,57,15,60
5701,33,2,53,59,3
5702,71,2,62,24,79
5703,43,24,39,44,23
5704,78,26,32,33,61
5705,38,40,29,53,5
5706,53,6,9,13,17
5707,7,24,69,14,16
5708,27,63,74,4,36
5709,42,9,24,29,46
5710,56,25,75,5,19
5711,36,37,53,49,62
5712,69,34,40,22,41
5713,9,6,7,41,63
5714,29,23,52,9,42
5715,8,70,15,31,56
5716,51,30,59,63,69
5717,38,48,58,62,57
5718,34,7,40,75,29
5719,38,57,76,60,4
5720,37,44,15,20,25
5721,7,44,73,78,2
5722,61,41,54,62,73
5723,40,75,20,28,47
5724,53,3,39,62,67
5725,7,67,8,14,56
5726,30,18,49,51,76
5727,29,9,20,23,54
5728,64,13,23,26,72
5729,9,73,38,50,52
5730,22,49,4,52,55
5731,16,7,56,4,46
5732,10,22,29,48,25
5733,6,15,32,73,5
5734,62,3,12,5,20
5735,64,35,78,18,5
5736,35,25,50,62,65
5737,53,23,33,60,64
5738,29,8,56,71,57
5739,72,13,10,16,50
5740,12,53,40,8,52
5741,3,49,2,4,6
5742,41,21,54,20,2
5743,13,21,79,36,52
5744,47,2,20,41,39
5745,13,22,77,4,19
5746,51,71,9,22,63
5747,62,38,11,55,66
5748,3,47,76,4,22
5749,44,62,7,14,25
5750,31,55,26,29,51
5751,15,38,7,20,40
5752,16,1,35,39,52
5753,72,1,15,56,70
5754,72,34,39,68,26
5755,51,46,36,41,60
5756,54,6,19,29,32
5757,15,18,51,68,77
5758,62,49,56,16,27
5759,35,10,13,18,31
5760,15,63,10,36,22
5761,13,39,53,62,4
5762,55,8,68,78,18
5763,48,53,5,7,23
5764,12,75,16,62,3
5765,71,72,80,49,79
5766,17,61,9,25,54
5767,78,34,30,77,2
5768,4,56,16,75,27
5769,23,47,4,75,2
5770,69,25,45,43,59
5771,26,36,52,25,32
5772,23,27,78,4,5
5773,16,17,23,2,47
5774,27,48,1,22,3
5775,66,55,47,14,63
5776,57,59,49,12,31
5777,11,5,8,41,67
5778,72,6,63,11,19
5779,55,24,67,22,31
5780,71,79,37,43,57
5781,35,2,18,1,16
5782,8,31,68,71,50
5783,75,57,23,51,61
5784,69,42,58,77,8
5785,32,8,79,77,13
5786,25,73,26,28,44
5787,1,48,12,13,14
5788,12,63,20,31,25
5789,48,75,10,13,23
5790,25,20,65,1,31
5791,20,65,24,37,39
5792,61,28,16,77,4
5793,13,37,52,7,32
5794,24,30,14,36,60
5795,57,1,27,34,13
5796,73,47,58,3,12
5797,5,44,9,78,33
5798,51,30,21,19,54
5799,1,31,44,78,2
5800,5,10,40,46,66
5801,31,32,34,60,22
5802,16,75,59,62,63
5803,36,62,66,9,57
5804,57,68,51,65,15
5805,75,29,30,41,24
5806,39,46,66,75,25
5807,35,8,45,9,51
5808,71,42,15,26,14
5809,75,70,22,80,5
5810,37,47,25,62,21
5811,60,74,39,40,6
5812,8,26,36,66,11
5813,65,73,14,16,22
5814,12,24,78,32,51
5815,5,25,20,77,38
5816,71,64,76,12,18
5817,41,36,50,55,5
5818,47,43,28,46,48
5819,11,8,45,50,52
5820,3,46,57,78,22
5821,51,55,38,58,16
5822,5,10,24,44,57
5823,49,46,15,7,18
5824,17,4,15,51,16
5825,64,16,55,59,72
5826,42,60,62,73,15
5827,53,11,18,72,24
5828,75,1,13,39,54
5829,66,46,7,8,11
5830,1,32,43,51,67
5831,49,66,18,10,46
5832,7,30,77,46,79
5833,77,29,30,4,5
5834,67,59,3,51,17
5835,48,9,24,57,79
5836,6,19,12,35,46
5837,61,28,75,31,32
5838,53,54,55,72,2
5839,72,13,20,22,49
5840,42,1,72,49,64
5841,39,8,16,31,36
5842,74,56,64,14,8
5843,56,47,75,12,68
5844,1,39,52,19,15
5845,56,29,41,58,40
5846,6,25,43,24,61
5847,35,53,76,77,17
5848,39,72,8,7,22
5849,20,44,33,34,75
5850,54,43,19,20,30
5851,49,61,3,16,69
5852,50,80,26,42,41
5853,6,8,12,34,18
5854,39,11,14,33,38
5855,70,51,49,33,44
5856,50,80,61,8,75
5857,31,52,61,38,27
5858,17,24,32,57,23
5859,46,8,28,57,5
5860,15,25,66,73,2
5861,34,4,76,80,22
5862,14,59,64,12,8
5863,18,19,39,46,10
5864,26,67,34,4,30
5865,36,34,60,58,22
5866,35,71,14,33,17
5867,65,46,51,30,33
5868,67,58,75,80,56
5869,20,38,40,79,54
5870,8,20,4,15,19
5871,53,22,9,77,34
5872,33,13,71,79,30
5873,74,8,22,55,67
5874,12,14,2,11,24
5875,43,36,45,4,22
5876,68,11,56,65,8
5877,17,56,61,53,57
5878,40,15,55,69,79
5879,51,9,21,47,35
5880,58,13,38,10,24
5881,69,66,68,2,26
5882,25,50,53,47,68
5883,18,13,60,65,29
5884,61,35,72,52,1
5885,5,58,57,15,40
5886,61,59,6,20,36
5887,6,3,27,58,2
5888,8,42,5,20,60
5889,76,48,13,24,60
5890,34,27,46,54,40
5891,13,20,8,27,35
5892,44,7,32,39,57
5893,34,74,79,49,77
5894,34,60,42,71,8
5895,67,11,17,73,21
5896,10,44,45,14,24
5897,31,40,43,59,75
5898,35,17,53,24,4
5899,11,15,55,31,9
5900,22,41,58,61,6
5901,27,34,75,7,8
5902,2,55,3,32,68
5903,65,36,41,55,47
5904,3,61,71,2,38
5905,42,76,79,30,69
5906,32,26,60,38,61
5907,1,32,25,9,15
5908,51,7,45,60,2
5909,10,28,53,63,77
5910,67,2,14,16,21
5911,14,43,47,77,18
5912,34,40,4,36,69
5913,40,49,31,41,56
5914,17,19,41,37,2
5915,24,38,21,66,69
5916,10,35,2,7,12
5917,19,39,44,50,51
5918,29,35,18,65,7
5919,45,11,62,73,1
5920,10,26,34,78,2
5921,21,28,70,49,50
5922,50,28,67,38,27
5923,75,36,39,30,41
5924,37,52,48,66,19
5925,38,22,69,34,35
5926,6,17,54,34,18
5927,40,62,5,9,10
5928,3,27,79,14,19
5929,11,27,62,36,4
5930,80,18,19,44,49
5931,47,42,56,44,37
5932,9,44,64,34,62
5933,43,46,1,49,13
5934,48,46,32,1,33
5935,11,42,71,80,2
5936,31,18,23,41,58
5937,1,26,27,31,41
5938,50,22,52,51,71
5939,48,31,44,19,23
5940,8,14,11,29,48
5941,64,48,58,5,6
5942,26,43,20,21,31
5943,57,7,19,20,11
5944,16,21,11,15,23
5945,18,24,44,54,46
5946,39,24,42,1,8
5947,1,26,7,33,54
5948,51,7,12,18,59
5949,68,5,8,20,47
5950,62,25,22,49,73
5951,40,24,44,6,17
5952,7,5,8,3,14
5953,10,53,56,4,36
5954,4,19,67,34,49
5955,49,2,47,61,38
5956,47,35,11,33,62
5957,2,22,56,8,45
5958,68,17,64,76,8
5959,20,77,78,14,17
5960,5,12,74,13,39
5961,32,8,22,37,52
5962,67,3,19,7,51
5963,44,2,4,56,72
5964,11,8,61,20,68
5965,23,37,30,43,21
5966,23,2,22,38,48
5967,17,37,19,77,3
5968,76,2,9,19,48
5969,23,32,6,8,9
5970,59,54,14,49,11
5971,36,57,20,69,73
5972,22,23,55,72,51
5973,16,55,61,71,4
5974,15,31,40,58,51
5975,24,61,80,40,47
5976,27,33,53,68,78
5977,50,25,43,48,32
5978,25,53,55,70,38
5979,35,23,32,13,21
5980,21,23,15,13,74
5981,66,44,20,55,13
5982,80,12,7,5,13
5983,41,25,28,32,48
5984,7,55,60,29,5
5985,14,33,5,17,44
5986,4,20,9,10,77
5987,16,48,8,45,71
5988,60,54,5,63,3
5989,6,15,55,66,68
5990,70,80,46,6,19
5991,7,74,47,66,41
5992,2,48,78,9,24
5993,22,11,13,37,70
5994,74,5,9,68,80
5995,16,29,48,52,54
5996,55,78,2,3,69
5997,28,35,16,3,33
5998,44,59,62,66,19
5999,44,63,5,10,34
6000,55,4,25,5,17
6001,57,4,10,18,40
6002,50,8,74,44,72
6003,24,23,72,77,8
6004,37,64,14,30,9
6005,80,15,20,33,38
6006,65,78,31,66,14
6007,59,31,76,80,55
6008,25,29,39,2,9
6009,23,22,34,52,63
6010,45,61,12,41,10
6011,67,3,63,6,11
6012,18,36,7,8,34
6013,27,28,64,69,10
6014,61,29,12,66,70
6015,29,57,23,70,53
6016,49,36,40,42,58
6017,45,53,71,22,19
6018,62,69,1,70,33
6019,18,76,45,21,71
6020,74,32,49,68,6
6021,30,20,19,73,22
6022,44,9,20,31,58
6023,45,17,18,41,1
6024,62,65,78,7,16
6025,16,67,9,18,59
6026,18,45,6,65,26
6027,19,12,32,33,44
6028,21,33,39,5,2
6029,30,52,2,10,41
6030,26,3,38,46,32
6031,60,32,57,1,6
6032,34,13,71,31,62
6033,36,72,45,13,14
6034,9,7,10,31,38
6035,29,44,36,43,35
6036,54,77,34,16,23
6037,19,3,10,35,63
6038,8,26,70,6,14
6039,3,78,8,54,66
6040,57,4,51,45,80
6041,1,36,41,15,44
6042,54,8,12,23,31
6043,60,3,6,13,21
6044,77,3,42,73,32
6045,1,53,38,63,70
6046,61,17,70,45,7
6047,25,68,5,44,49
6048,19,23,2,26,44
6049,14,32,34,47,48
6050,54,6,14,17,51
6051,61,12,18,23,2
6052,21,43,44,55,38
6053,18,44,39,71,2
6054,7,13,15,68,6
6055,17,16,51,5,36
6056,5,28,73,64,10
6057,13,38,50,1,3
6058,9,12,65,6,11
6059,33,34,37,55,8
6060,13,39,57,14,29
6061,6,28,79,17,21
6062,46,35,15,73,2
6063,18,20,13,48,57
6064,46,6,20,72,4
6065,9,79,41,42,28
6066,79,2,48,5,69
6067,6,23,24,62,2
6068,7,20,27,32,57
6069,20,1,9,44,41
6070,39,61,16,2,48
6071,4,27,76,2,10
6072,1,22,37,9,43
6073,19,57,60,72,9
6074,12,24,22,72,5
6075,51,33,46,77,39
6076,74,30,31,32,43
6077,1,13,55,18,43
6078,32,35,48,61,69
6079,27,73,69,31,46
6080,16,9,54,1,5
6081,37,66,11,12,16
6082,53,3,17,24,29
6083,1,31,51,16,17
6084,75,31,24,28,42
6085,66,28,38,59,73
6086,53,26,27,80,3
6087,53,4,23,68,41
6088,27,66,39,53,18
6089,61,80,4,22,28
6090,68,32,7,10,13
6091,53,11,22,55,79
6092,60,63,70,53,55
6093,23,7,16,10,29
6094,32,16,56,59,1
6095,51,35,14,49,80
6096,17,22,8,16,37
6097,11,14,16,20,73
6098,28,27,6,8,49
6099,43,40,47,59,31
6100,57,80,31,36,9
6101,30,48,66,51,77
6102,10,23,25,78,14
6103,70,6,15,18,52
6104,64,34,19,30,36
6105,54,65,44,72,75
6106,16,35,50,53,10
6107,72,33,35,21,63
6108,8,13,22,63,21
6109,50,32,74,9,16
6110,14,36,59,19,29
6111,71,77,26,23,2
6112,4,5,18,27,30
6113,7,2,44,1,34
6114,80,55,10,41,60
6115,4,22,35,21,9
6116,8,39,32,71,47
6117,35,45,56,74,13
6118,36,2,3,42,7
6119,46,80,27,20,50
6120,67,31,14,29,51
6121,59,30,6,9,42
6122,29,59,31,6,18
6123,75,39,69,18,4
6124,12,26,2,5,22
6125,45,51,28,31,42
6126,46,38,12,31,49
6127,2,49,59,6,33
6128,54,20,53,62,65
6129,10,32,46,70,2
6130,19,51,38,15,34
6131,37,22,2,7,16
6132,70,71,26,22,25
6133,57,2,78,3,22
6134,73,12,42,50,19
6135,22,66,13,15,28
6136,2,20,66,70,78
6137,4,11,50,26,27
6138,17,64,79,2,16
6139,24,13,26,73,34
6140,73,3,43,2,5
6141,58,52,1,3,67
6142,33,13,35,69,4
6143,61,52,4,57,5
6144,2,36,26,40,3
6145,28,7,44,12,13
6146,23,29,36,42,64
6147,10,1,55,18,58
6148,11,51,63,79,13
6149,56,22,75,17,3
6150,52,37,59,16,41
6151,72,2,27,79,7
6152,11,13,44,9,12
6153,32,40,45,11,59
6154,57,29,49,74,14
6155,68,67,73,80,34
6156,19,30,4,6,32
6157,43,1,14,47,57
6158,72,43,45,51,55
6159,42,10,16,35,23
6160,64,41,79,29,8
6161,50,8,75,11,23
6162,69,40,12,28,42
6163,23,31,71,1,10
6164,44,73,37,55,62
6165,24,3,55,74,28
6166,78,4,66,2,16
6167,21,75,47,63,14
6168,45,26,34,37,69
6169,55,45,25,38,16
6170,80,42,13,48,2
6171,13,79,7,9,52
6172,21,9,7,63,47
6173,63,74,49,33,1
6174,49,71,35,21,10
6175,21,48,69,58,57
6176,10,3,32,16,19
6177,51,73,22,61,35
6178,9,19,58,64,2
6179,53,66,24,70,1
6180,13,78,1,17,20
6181,64,79,55,73,4
6182,55,11,18,74,33
6183,11,22,21,2,37
6184,42,46,62,33,2
6185,31,5,10,35,53
6186,32,8,66,38,40
6187,42,12,19,62,16
6188,5,44,24,25,18
6189,65,52,21,53,28
6190,6,30,69,1,29
6191,40,3,37,73,77
6192,36,17,75,27,34
6193,14,46,7,26,31
6194,13,20,24,32,48
6195,48,74,31,77,11
6196,22,25,67,53,66
6197,27,56,12,69,78
6198,80,5,27,23,48
6199,8,30,61,19,26
6200,16,3,46,38,47
6201,11,19,1,9,60
6202,62,18,67,13,48
6203,18,75,76,29,36
6204,27,32,34,66,71
6205,14,3,16,22,29
6206,35,59,52,36,45
6207,53,11,17,24,67
6208,17,41,72,12,31
6209,3,48,22,28,66
6210,47,25,31,55,3
6211,53,27,57,10,79
6212,74,59,8,7,37
6213,9,71,56,73,80
6214,58,51,17,2,9
6215,57,79,24,44,45
6216,46,42,22,25,68
6217,21,50,25,37,63
6218,26,46,62,70,36
6219,6,36,41,53,4
6220,15,36,34,60,8
6221,53,12,18,22,30
6222,58,28,31,74,8
6223,69,16,10,46,50
6224,78,45,74,8,29
6225,72,45,2,76,5
6226,58,2,51,66,39
6227,72,37,43,7,13
6228,59,20,9,26,46
6229,15,17,18,79,41
6230,46,15,16,31,32
6231,27,65,32,59,10
6232,18,60,80,1,27
6233,67,77,25,29,41
6234,47,72,3,17,19
6235,18,30,24,6,10
6236,8,17,22,36,44
6237,65,3,30,76,58
6238,48,75,8,2,33
6239,32,75,46,26,14
6240,71,22,40,2,4
6241,58,37,56,65,70
6242,69,10,39,46,60
6243,70,50,1,78,2
6244,67,14,21,5,49
6245,10,76,51,79,9
6246,37,69,74,53,67
6247,28,65,59,69,2
6248,18,21,61,78,6
6249,58,14,39,21,2
6250,15,62,79,24,26
6251,50,64,10,35,52
6252,62,23,72,73,3
6253,44,64,14,16,21
6254,41,70,53,80,4
6255,53,18,6,8,22
6256,7,20,65,80,15
6257,34,7,20,18,35
6258,76,73,23,67,3
6259,68,40,55,56,23
6260,34,6,73,43,31
6261,54,2,39,4,15
6262,74,24,80,16,62
6263,29,30,31,35,5
6264,2,6,15,45,54
6265,71,57,20,24,45
6266,69,15,24,74,5
6267,63,75,17,41,44
6268,1,19,56,7,52
6269,40,14,32,58,56
6270,33,42,13,22,17
6271,35,47,60,11,13
6272,18,54,13,32,46
6273,42,46,3,54,57
6274,78,63,1,21,32
6275,70,17,61,8,59
6276,3,24,69,67,9
6277,2,35,46,65,25
6278,58,74,23,25,31
6279,30,20,27,3,17
6280,76,75,59,32,58
6281,66,75,1,27,32
6282,2,16,30,32,66
6283,43,34,2,33,40
6284,10,64,39,11,46
6285,51,64,3,7,21
6286,65,19,41,36,3
6287,46,31,75,57,65
6288,18,45,54,1,29
6289,16,28,42,18,22
6290,13,4,54,10,9
6291,58,5,15,56,27
6292,78,12,48,59,79
6293,7,6,49,45,54
6294,51,52,78,6,25
6295,24,25,42,5,29
6296,3,52,17,48,14
6297,22,42,56,80,47
6298,39,43,66,22,65
6299,34,11,28,37,62
6300,36,28,23,32,44
6301,23,67,72,11,61
6302,79,9,66,70,43
6303,11,26,38,48,73
6304,40,32,2,18,48
6305,45,48,70,64,25
6306,60,49,73,16,64
6307,8,72,17,78,3
6308,4,59,1,38,10
6309,46,71,18,26,31
6310,58,21,29,11,53
6311,55,14,39,13,25
6312,48,9,10,14,22
6313,68,51,76,80,27
6314,79,45,66,23,29
6315,11,22,9,21,24
6316,3,28,66,40,58
6317,64,65,10,43,5
6318,31,10,34,56,76
6319,39,16,32,59,17
6320,42,53,3,31,35
6321,39,69,60,73,9
6322,17,15,25,18,27
6323,42,58,30,52,65
6324,63,62,21,12,36
6325,14,41,75,29,7
6326,13,40,12,18,20
6327,28,66,15,20,62
6328,44,52,21,23,30
6329,47,5,12,17,32
6330,56,63,15,47,67
6331,59,22,60,9,35
6332,41,31,4,17,37
6333,1,31,61,69,2
6334,3,5,6,9,22
6335,57,23,4,11,46
6336,44,57,7,32,35
6337,4,49,50,79,30
6338,15,9,11,70,29
6339,62,37,60,67,8
6340,14,2,12,33,46
6341,10,75,5,27,38
6342,8,45,30,46,70
6343,25,40,15,28,39
6344,16,13,36,51,58
6345,20,13,37,4,9
6346,20,56,69,12,34
6347,30,56,61,19,1
6348,13,53,58,80,22
6349,55,70,16,40,65
6350,58,17,28,39,2
6351,8,21,42,24,10
6352,49,41,54,77,78
6353,54,39,72,5,23
6354,31,47,6,34,5
6355,14,62,60,10,15
6356,29,57,58,6,11
6357,15,22,35,72,40
6358,50,5,26,38,46
6359,13,57,67,10,11
6360,29,30,73,8,15
6361,4,30,34,68,76
6362,70,65,14,9,46
6363,2,13,50,6,48
6364,27,32,36,67,10
6365,13,26,47,48,9
6366,19,31,34,5,11
6367,36,22,39,59,43
6368,42,74,44,3,57
6369,10,40,62,69,2
6370,51,73,16,3,4
6371,16,63,79,5,67
6372,22,74,3,2,34
6373,59,9,65,75,3
6374,28,39,42,57,68
6375,73,58,28,41,53
6376,35,56,68,71,77
6377,51,64,66,20,48
6378,1,10,39,53,67
6379,19,66,76,3,18
6380,35,28,36,53,41
6381,19,38,52,59,12
6382,40,15,41,60,74
6383,48,50,26,37,64
6384,1,16,21,40,17
6385,12,17,4,47,50
6386,15,10,75,38,62
6387,52,75,14,15,18
6388,37,72,74,77,44
6389,66,28,29,41,57
6390,80,23,16,27,37
6391,51,7,26,13,20
6392,45,60,79,7,36
6393,7,21,47,73,23
6394,31,34,45,61,77
6395,13,5,71,73,28
6396,75,42,63,57,2
6397,19,4,38,61,65
6398,40,67,41,44,78
6399,64,10,47,26,70
6400,75,19,25,42,60
6401,58,72,62,79,52
6402,67,21,47,63,1
6403,44,41,71,14,57
6404,77,64,76,80,31
6405,33,9,28,71,1
6406,24,77,31,11,50
6407,24,67,5,38,47
6408,3,12,61,23,7
6409,9,61,70,21,26
6410,32,16,17,24,60
6411,25,15,40,42,3
6412,35,23,5,29,51
6413,25,55,18,62,29
6414,42,7,10,59,61
6415,60,5,34,72,11
6416,46,19,12,26,56
6417,54,31,59,63,39
6418,72,26,27,4,5
6419,32,60,63,70,3
6420,40,39,46,18,9
6421,77,43,59,76,5
6422,44,37,50,62,64
6423,5,13,43,55,24
6424,8,77,41,59,72
6425,21,8,14,31,5
6426,54,44,57,58,61
6427,75,41,24,51,14
6428,4,25,36,56,3
6429,20,2,29,27,30
6430,31,41,40,77,21
6431,2,68,80,11,47
6432,43,38,26,59,33
6433,4,6,59,5,16
6434,48,19,79,30,31
6435,26,1,2,12,27
6436,17,48,22,80,21
6437,80,24,1,10,8
6438,23,67,28,30,45
6439,7,37,14,65,77
6440,7,12,71,48,16
6441,34,27,10,19,36
6442,24,36,3,37,60
6443,36,35,37,74,3
6444,57,74,53,34,70
6445,20,40,42,22,3
6446,74,43,3,42,66
6447,56,19,59,21,32
6448,55,72,25,40,52
6449,63,21,43,51,55
6450,14,10,32,39,55
6451,75,5,17,39,53
6452,24,12,36,55,2
6453,68,2,38,28,29
6454,41,48,66,1,49
6455,8,56,76,55,36
6456,19,6,20,42,65
6457,67,1,15,74,25
6458,29,34,50,48,44
6459,10,60,6,13,40
6460,56,75,1,33,53
6461,31,3,13,40,43
6462,79,78,73,43,13
6463,11,69,70,17,23
6464,28,34,35,65,21
6465,47,34,38,59,68
6466,45,63,11,59,19
6467,63,4,36,5,18
6468,14,43,50,56,18
6469,55,66,5,27,28
6470,23,54,25,61,3
6471,76,30,10,11,27
6472,10,76,31,71,7
6473,20,69,31,42,11
6474,18,28,38,8,35
6475,38,69,6,27,32
6476,29,68,16,20,23
6477,40,44,61,4,17
6478,79,28,42,3,58
6479,10,16,12,20,8
6480,4,17,22,68,9
6481,58,47,48,65,24
6482,18,44,24,36,7
6483,55,41,34,36,37
6484,66,64,25,37,10
6485,9,66,19,24,47
6486,47,33,22,61,5
6487,5,78,49,38,11
6488,57,56,18,20,23
6489,65,2,11,30,36
6490,11,3,60,67,16
6491,78,12,42,76,1
6492,28,59,10,42,46
6493,79,8,72,11,21
6494,34,44,15,76,20
6495,26,66,47,77,74
6496,58,34,23,61,43
6497,25,48,20,7,9
6498,25,4,2,5,31
6499,1,36,23,74,3
6500,4,30,49,40,54
6501,78,3,23,42,19
6502,25,65,4,13,17
6503,49,1,36,45,6
6504,12,48,45,36,66
6505,28,4,22,32,48
6506,61,23,41,75,6
6507,3,29,13,16,12
6508,23,46,77,16,37
6509,34,6,27,40,76
6510,38,39,67,73,17
6511,27,24,36,41,80
6512,67,51,39,10,13
6513,62,37,44,67,55
6514,4,45,5,8,71
6515,1,23,25,26,29
6516,56,35,9,15,41
6517,27,47,5,37,56
6518,9,23,5,8,26
6519,66,13,33,50,6
6520,44,52,19,12,73
6521,65,19,21,7,14
6522,30,56,71,18,23
6523,63,73,36,5,45
6524,32,44,64,54,76
6525,26,65,31,52,54
6526,30,9,32,60,3
6527,36,31,72,6,8
6528,77,21,37,38,31
6529,24,69,10,28,74
6530,8,9,21,33,15
6531,56,33,34,54,17
6532,41,62,71,9,58
6533,35,48,68,53,63
6534,60,72,59,70,34
6535,76,68,30,16,43
6536,38,70,42,14,48
6537,66,38,9,23,31
6538,10,43,53,9,14
6539,6,20,4,14,16
6540,2,4,8,33,40
6541,70,2,66,48,68
6542,20,45,35,9,38
6543,27,80,58,63,73
6544,15,46,35,62,66
6545,57,77,8,43,10
6546,68,19,44,53,57
6547,2,40,43,70,8
6548,74,4,52,57,50
6549,16,25,78,67,13
6550,11,79,51,20,37
6551,8,47,17,23,29
6552,40,61,63,66,6
6553,21,29,36,75,7
6554,46,4,21,3,42
6555,50,75,69,16,20
6556,10,7,39,43,64
6557,75,14,26,33,44
6558,6,80,11,65,66
6559,62,19,14,26,47
6560,18,19,69,15,17
6561,20,52,60,73,10
6562,61,52,65,1,2
6563,77,19,52,68,4
6564,26,41,46,58,68
6565,32,80,21,42,59
6566,7,6,16,11,19
6567,47,51,60,63,71
6568,24,12,44,27,17
6569,49,4,60,21,25
6570,3,74,35,38,39
6571,52,10,22,54,77
6572,22,7,13,56,65
6573,52,8,61,17,57
6574,2,18,42,49,74
6575,14,35,4,38,8
6576,68,72,40,30,47
6577,13,33,61,44,75
6578,46,4,24,3,21
6579,69,29,1,65,74
6580,48,59,56,3,24
6581,56,11,34,38,60
6582,64,41,27,24,31
6583,20,74,3,36,17
6584,7,43,19,60,62
6585,78,32,56,62,3
6586,72,5,30,45,70
6587,16,5,21,54,57
6588,69,28,36,22,4
6589,22,73,35,25,34
6590,2,73,36,55,69
6591,41,20,29,44,15
6592,58,26,41,72,8
6593,35,27,44,9,18
6594,22,4,31,10,20
6595,72,64,21,60,70
6596,31,75,46,5,57
6597,73,43,44,80,36
6598,58,31,34,57,77
6599,62,72,74,13,28
6600,34,59,65,21,30
6601,5,49,55,74,22
6602,1,57,11,17,4
6603,27,28,12,23,43
6604,3,15,23,72,77
6605,78,39,62,42,8
6606,33,9,13,17,56
6607,3,32,38,27,39
6608,3,34,45,80,12
6609,38,72,56,57,2
6610,61,51,57,20,35
6611,46,72,25,42,52
6612,8,54,5,44,80
6613,50,55,64,71,34
6614,17,44,53,71,76
6615,13,48,71,1,40
6616,28,32,55,9,47
6617,68,14,48,74,4
6618,79,46,69,33,48
6619,24,5,12,32,38
6620,5,28,14,75,10
6621,68,16,37,80,11
6622,29,5,40,58,25
